geo,text,user,user_location
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,Jabond07,España
,When the rest of the travel industry is in chaos @Ryanair have again come up trumps @LPL_Airport to #barcelona retu… https://t.co/eXg94zDz9e,tilly4071,lytham 
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,JcaS_ed,
,Urgh I know this is a long shot but if anyone finds a Black ilford sprite 34-ll at Frankfurt or Barcelona airport m… https://t.co/Zb5AxLq5P8,_cooloriginal_,ldn
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,Nofeartohorses,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,shakifans24,
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",loveiseveryone,Brixton
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,Shakiraloverr,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,0ctavodia,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,Edgar_IvanG,"San Antonio, TX"
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,JacquelinSnch13,"Manizales, caldas"
,Taxis from Seville Airport to the City Center https://t.co/0oaO74AkIM,_Barcelona__,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,AMILCARESTUARD7,Guatemala
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,jleonardo81,Guatemala Ciudad
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",portinfinite,Los Angeles
,@BanksyArtBot Tell her that I found it at Barcelona Airport ceiling 😉 https://t.co/EOret2tsK6,GuerraMutisMarl,Colombia
,"Introducing airport man!
Accurate reports? No hermano i’ll spy around the Barcelona airport! https://t.co/kxgwb9hPEx",LogicFCB,Camp Nou
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,ShakBomba,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,fromvittar,"Asuncion, Paraguay"
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,ReadyForShak,He/She 🏳️‍🌈
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,Josedsp33,"Grézillac, France"
,@CyclingStache Do check out the information about a particular Lounge prior to your visit. Here is the link for Bar… https://t.co/uEFMbxMrJq,British_Airways,United Kingdom
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,thatxway,
,@CyclingStache I regret you were refused entry to the Lounge for a second time at Barcelona Airport. The Lounge sta… https://t.co/oK3IEIYP0Z,British_Airways,United Kingdom
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,shakiradegoias,Brazil
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,ShakiraVnezuela,Venezuela
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,mariazeballos26,España 🇪🇸
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,RobynMonrreal,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,mitito_98,El Salvador
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,HouseOfColombia,"Bogotá, D.C., Colombia"
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,PipeGahon,Bucaramanchester
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,moviriv,colombia
,Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t.co/7wxzSsKZar,KevinPrt44,
,"RT @travelweekly: Read this week's edition: https://t.co/1jKj3iKft6

Industry leaders slam government following blame for cancellation chao…",Lucy_Huxley,"Victoria, London"
